I eat an apple every morning.  
Ella cocinará sopa esta tarde.  
Vimos un perro en el patio.  
A él le gusta jugar fútbol diariamente.  
El pájaro vuela sobre el río.  
Visité a mi abuela el fin de semana.  
Ella está cantando una canción alegre.  
Bailarán en la boda.  
Él limpió su coche esta mañana.  
El perro persiguió un conejo ayer.  
Compraré un libro nuevo.  
Ella canta en la iglesia semanalmente.  
Estamos viendo una película divertida.  
Él pintó una pared anoche.  
El gato está durmiendo en el sofá.  
Caminé al parque hoy.  
Ella horneará un pastel mañana.  
A ellos les gusta leer libros de aventuras.  
Él está comiendo una manzana pequeña.  
El pájaro voló a la montaña.  
Bebo té por la tarde.  
Ella bailó en la fiesta ayer.  
Visitaremos el zoológico mañana.  
Él escribe poemas en su diario.  
El bebé sonrió a su papá.  
Limpie la cocina esta noche.  
Ella está aprendiendo a tocar piano.  
Vieron un programa anoche.  
Él pintará la casa mañana.  
El perro ladra al gato.  
Estoy comiendo una naranja ahora.  
Ella compró un vestido el mes pasado.  
Iremos de excursión este fin de semana.  
A él le gusta tocar la guitarra.  
El gato corre tras el pájaro.  
Visité el museo la semana pasada.  
Ella está escribiendo un poema corto.  
Nadarán en el río.  
Él ayudó a su papá a arreglar bicicletas.  
El pájaro construyó un nido ayer.  
Leeré un libro esta noche.  
Ella cocinó sopa para su mamá.  
Vimos una película anoche.  
Él está dibujando un árbol grande.  
El perro duerme en la alfombra.  
Caminé a la escuela esta tarde.  
Ella cantará en el festival.  
Están leyendo en el aula.  
Él pintó la puerta el mes pasado.  
El gato persiguió una mariposa esta mañana.  
Compraré un teléfono nuevo mañana.  
Ella baila en el estudio diariamente.  
Estamos viendo las estrellas esta noche.  
A él le gusta comer helado.  
El pájaro vuela hacia el árbol.  
Limpie la cocina esta tarde.  
Ella aprenderá a hablar francés.  
Vieron televisión anoche tarde.  
Él está escribiendo un poema divertido.  
El perro corrió en el campo.  
Visitaré a mi primo mañana.  
Ella compró un sombrero el mes pasado.  
Están jugando fútbol ahora mismo.  
Él ayudó a su hermana con tareas.  
El gato está comiendo su comida.  
Caminé al mercado hoy.  
Ella horneará un pastel mañana.  
Vimos un pájaro en el parque.  
Él está leyendo un cómic.  
El pájaro cantó bellamente esta mañana.  
Bebo agua después de cada comida.  
Ella bailó en el evento escolar.  
Iremos al cine.  
Él escribe poemas en su cuaderno.  
El bebé está durmiendo ahora mismo.  
Limpie mi cuarto esta tarde.  
Ella aprenderá a dibujar pronto.  
Vieron un programa ayer por la noche.  
Él está almorzando ahora mismo.  
El perro juega con una pelota.  
Llamaré a mi mamá esta noche.  
Ella compró zapatos para su hermano.  
Están estudiando en el aula.  
Él pintó una pared el mes pasado.  
El gato saltó sobre la silla.  
Estoy escribiendo un correo ahora.  
Ella cocinará el almuerzo esta tarde.  
Vimos un pájaro en el árbol.  
A él le gusta jugar juegos de mesa.  
El pájaro vuela sobre la casa.  
Visité a mi amigo el fin de semana.  
Ella está cantando en la ducha.  
Bailarán en la fiesta.  
Él limpió sus zapatos esta mañana.  
El perro persiguió una ardilla ayer.  
Compraré una chaqueta nueva.  
Ella canta con sus amigos semanalmente.  
Estamos viendo una película nueva.  
Él pintó un cuadro anoche.  
El gato está durmiendo en la alfombra.  
Caminé a la biblioteca ayer.  
Ella horneará pan esta noche.  
A ellos les gusta leer libros de misterio.  
Él está comiendo un sándwich grande.  
El pájaro voló al bosque.  
Bebo leche por la mañana.  
Ella bailó en la boda ayer.  
Visitaremos el parque mañana.  
Él escribe historias en su cuarto.  
El bebé sonrió a su mamá.  
Limpie el baño esta mañana.  
Ella está aprendiendo a jugar fútbol.  
Vieron una obra anoche.  
Él pintará el cuarto mañana.  
El perro ladra al vecino.  
Estoy comiendo un plátano ahora.  
Ella compró un libro el fin de semana.  
Iremos de campamento este verano.  
A él le gusta jugar con amigos.  
El gato corre en el jardín.  
Visité a mi tío el mes pasado.  
Ella está escribiendo un poema nuevo.  
Nadarán en el lago.  
Él ayudó a su amigo a mover cajas.  
El pájaro construyó un nido hoy.  
Leeré una revista esta noche.  
Ella cocinó pasta para sus amigos.  
Vimos un concierto el fin de semana.  
Él está dibujando una casa pequeña.  
El perro duerme en el patio.  
Caminé a la tienda hoy.  
Ella cantará en el coro.  
Están leyendo un libro nuevo.  
Él pintó la cerca la semana pasada.  
El gato persiguió un ratón ayer.  
Compraré un sombrero nuevo.  
Ella baila en la escuela semanalmente.  
Estamos viendo un programa divertido.  
A él le gusta comer pizza a menudo.  
El pájaro vuela al parque.  
Limpie el garaje esta mañana.  
Ella aprenderá a escribir historias.  
Vieron una película anoche.  
Él está escribiendo un correo largo.  
El perro corrió al parque.  
Visitaré a mi hermana mañana.  
Ella compró una camiseta la semana pasada.  
Están jugando en el patio.  
Él ayudó a su mamá a cocinar cena.  
El gato está comiendo su cena.  
Visité el parque el fin de semana.  
Ella horneará galletas este fin de semana.  
Vimos un gato en el árbol.  
Él está leyendo un libro divertido.  
El pájaro cantó fuerte esta mañana.  
Bebo jugo después de cada comida.  
Ella bailó en el festival ayer.  
Iremos a la playa.  
Él escribe cartas a sus amigos.  
El bebé está riendo ahora mismo.  
Limpie mi escritorio esta tarde.  
Ella aprenderá a pintar pronto.  
Vieron un partido ayer por la noche.  
Él está cenando ahora mismo.  
El perro juega en el parque.  
Llamaré a mi papá esta noche.  
Ella compró flores para su papá.  
Están estudiando en la biblioteca.  
Él pintó una silla el mes pasado.  
El gato saltó a la cama.  
Estoy escribiendo una historia nueva.  
Ella cocinará sopa esta tarde.  
Vimos un perro en el patio.  
A él le gusta jugar fútbol diariamente.  
El pájaro vuela sobre el río.  
Visité a mi abuela el fin de semana.  
Ella está cantando una canción alegre.  
Bailarán en la boda.  
Él limpió su coche esta mañana.  
El perro persiguió un conejo ayer.  
Compraré un libro nuevo.  
Ella canta en la iglesia semanalmente.  
Estamos viendo una película divertida.  
Él pintó una pared anoche.  
El gato está durmiendo en el sofá.  
Caminé al parque hoy.  
Ella horneará un pastel mañana.  
A ellos les gusta leer libros de aventuras.  
Él está comiendo una manzana pequeña.  
El pájaro voló a la montaña.  
Bebo té por la tarde.  
Ella bailó en la fiesta ayer.  
Visitaremos el zoológico mañana.  
Él escribe poemas en su diario.  
El bebé sonrió a su papá.  
Limpie la cocina esta noche.  
Ella está aprendiendo a tocar piano.  
Vieron un programa anoche.  
Él pintará la casa mañana.  
El perro ladra al gato.  
Estoy comiendo una naranja ahora.  
Ella compró un vestido el mes pasado.  
Iremos de excursión este fin de semana.  
A él le gusta tocar la guitarra.  
El gato corre tras el pájaro.  
Visité el museo la semana pasada.  
Ella está escribiendo un poema corto.  
Nadarán en el río.  
Él ayudó a su papá a arreglar bicicletas.  
El pájaro construyó un nido ayer.  
Leeré un libro esta noche.  
Ella cocinó sopa para su mamá.  
Vimos una película anoche.  
Él está dibujando un árbol grande.  
El perro duerme en la alfombra.  
Caminé a la escuela esta tarde.  
Ella cantará en el festival.  
Están leyendo en el aula.  
Él pintó la puerta el mes pasado.  
El gato persiguió una mariposa esta mañana.  
Compraré un teléfono nuevo mañana.  
Ella baila en el estudio diariamente.  
Estamos viendo las estrellas esta noche.  
A él le gusta comer helado.  
El pájaro vuela hacia el árbol.  
Limpie la cocina esta tarde.  
Ella aprenderá a hablar francés.  
Vieron televisión anoche tarde.  
Él está escribiendo un poema divertido.  
El perro corrió en el campo.  
Visitaré a mi primo mañana.  
Ella compró un sombrero el mes pasado.  
Están jugando fútbol ahora mismo.  
Él ayudó a su hermana con tareas.  
El gato está comiendo su comida.  
Caminé al mercado hoy.  
Ella horneará un pastel mañana.  
Vimos un pájaro en el parque.  
Él está leyendo un cómic.  
El pájaro cantó bellamente esta mañana.  
Bebo agua después de cada comida.  
Ella bailó en el evento escolar.  
Iremos al cine.  
Él escribe poemas en su cuaderno.  
El bebé está durmiendo ahora mismo.  
Limpie mi cuarto esta tarde.  
Ella aprenderá a dibujar pronto.  
Vieron un programa ayer por la noche.  
Él está almorzando ahora mismo.  
El perro juega con una pelota.  
Llamaré a mi mamá esta noche.  
Ella compró zapatos para su hermano.  
Están estudiando en el aula.  
Él pintó una pared el mes pasado.  
El gato saltó sobre la silla.  
Estoy escribiendo un correo ahora.  
Ella cocinará el almuerzo esta tarde.  
Vimos un pájaro en el árbol.  
A él le gusta jugar juegos de mesa.  
El pájaro vuela sobre la casa.  
Visité a mi amigo el fin de semana.  
Ella está cantando en la ducha.  
Bailarán en la fiesta.  
Él limpió sus zapatos esta mañana.  
El perro persiguió una ardilla ayer.  
Compraré una chaqueta nueva.  
Ella canta con sus amigos semanalmente.  
Estamos viendo una película nueva.  
Él pintó un cuadro anoche.  
El gato está durmiendo en la alfombra.  
Caminé a la biblioteca ayer.  
Ella horneará pan esta noche.  
A ellos les gusta leer libros de misterio.  
Él está comiendo un sándwich grande.  
El pájaro voló al bosque.  
Bebo leche por la mañana.  
Ella bailó en la boda ayer.  
Visitaremos el parque mañana.  
Él escribe historias en su cuarto.  
El bebé sonrió a su mamá.  
Limpie el baño esta mañana.  
Ella está aprendiendo a jugar fútbol.  
Vieron una obra anoche.  
Él pintará el cuarto mañana.  
El perro ladra al vecino.  
Estoy comiendo un plátano ahora.  
Ella compró un libro el fin de semana.  
Iremos de campamento este verano.  
A él le gusta jugar con amigos.  
El gato corre en el jardín.  
Visité a mi tío el mes pasado.  
Ella está escribiendo un poema nuevo.  
Nadarán en el lago.  
Él ayudó a su amigo a mover cajas.  
El pájaro construyó un nido hoy.  
Leeré una revista esta noche.  
Ella cocinó pasta para sus amigos.  
Vimos un concierto el fin de semana.  
Él está dibujando una casa pequeña.  
El perro duerme en el patio.  
Caminé a la tienda hoy.  
Ella cantará en el coro.  
Están leyendo un libro nuevo.  
Él pintó la cerca la semana pasada.  
El gato persiguió un ratón ayer.  
Compraré un sombrero nuevo.  
Ella baila en la escuela semanalmente.  
Estamos viendo un programa divertido.  
A él le gusta comer pizza a menudo.  
El pájaro vuela al parque.  
Limpie el garaje esta mañana.  
Ella aprenderá a escribir historias.  
Vieron una película anoche.  
Él está escribiendo un correo largo.  
El perro corrió al parque.  
Visitaré a mi hermana mañana.  
Ella compró una camiseta la semana pasada.  
Están jugando en el patio.  
Él ayudó a su mamá a cocinar cena.  
El gato está comiendo su cena.  
Visité el parque el fin de semana.  
Ella horneará galletas este fin de semana.  
Vimos un gato en el árbol.  
Él está leyendo un libro divertido.  
El pájaro cantó fuerte esta mañana.  
Bebo jugo después de cada comida.  
Ella bailó en el festival ayer.  
Iremos a la playa.  
Él escribe cartas a sus amigos.  
El bebé está riendo ahora mismo.  
Limpie mi escritorio esta tarde.  
Ella aprenderá a pintar pronto.  
Vieron un partido ayer por la noche.  
Él está cenando ahora mismo.  
El perro juega en el parque.  
Llamaré a mi papá esta noche.  
Ella compró flores para su papá.  
Están estudiando en la biblioteca.  
Él pintó una silla el mes pasado.  
El gato saltó a la cama.  
Estoy escribiendo una historia nueva.  
Ella cocinará sopa esta tarde.  
Vimos un perro en el patio.  
A él le gusta jugar fútbol diariamente.  
El pájaro vuela sobre el río.  
Visité a mi abuela el fin de semana.  
Ella está cantando una canción alegre.  
Bailarán en la boda.  
Él limpió su coche esta mañana.  
El perro persiguió un conejo ayer.  
Compraré un libro nuevo.  
Ella canta en la iglesia semanalmente.  
Estamos viendo una película divertida.  
Él pintó una pared anoche.  
El gato está durmiendo en el sofá.  
Caminé al parque hoy.  
Ella horneará un pastel mañana.  
A ellos les gusta leer libros de aventuras.  
Él está comiendo una manzana pequeña.  
El pájaro voló a la montaña.  
Bebo té por la tarde.  
Ella bailó en la fiesta ayer.  
Visitaremos el zoológico mañana.  
Él escribe poemas en su diario.  
El bebé sonrió a su papá.  
Limpie la cocina esta noche.  
Ella está aprendiendo a tocar piano.  
Vieron un programa anoche.  
Él pintará la casa mañana.  
El perro ladra al gato.  
Estoy comiendo una naranja ahora.  
Ella compró un vestido el mes pasado.  
Iremos de excursión este fin de semana.  
A él le gusta tocar la guitarra.  
El gato corre tras el pájaro.  
Visité el museo la semana pasada.  
Ella está escribiendo un poema corto.  
Nadarán en el río.  
Él ayudó a su papá a arreglar bicicletas.  
El pájaro construyó un nido ayer.  
Leeré un libro esta noche.  
Ella cocinó sopa para su mamá.  
Vimos una película anoche.  
Él está dibujando un árbol grande.  
El perro duerme en la alfombra.  
Caminé a la escuela esta tarde.  
Ella cantará en el festival.  
Están leyendo en el aula.  
Él pintó la puerta el mes pasado.  
El gato persiguió una mariposa esta mañana.  
Compraré un teléfono nuevo mañana.  
Ella baila en el estudio diariamente.  
Estamos viendo las estrellas esta noche.  
A él le gusta comer helado.  
El pájaro vuela hacia el árbol.  
Limpie la cocina esta tarde.  
Ella aprenderá a hablar francés.  
Vieron televisión anoche tarde.  
Él está escribiendo un poema divertido.  
El perro corrió en el campo.  
Visitaré a mi primo mañana.  
Ella compró un sombrero el mes pasado.  
Están jugando fútbol ahora mismo.  
Él ayudó a su hermana con tareas.  
El gato está comiendo su comida.  
Caminé al mercado hoy.  
Ella horneará un pastel mañana.  
Vimos un pájaro en el parque.  
Él está leyendo un cómic.  
El pájaro cantó bellamente esta mañana.  
Bebo agua después de cada comida.  
Ella bailó en el evento escolar.  
Iremos al cine.  
Él escribe poemas en su cuaderno.
